"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2016,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",5357.61918,"Tonnen Stickstoff","bfs/agristat/awel"
2016,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8489.9311,"Tonnen Stickstoff","bfs/agristat/awel"
2016,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",838.87904,"Tonnen Stickstoff","bfs/agristat/awel"
2016,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",14686.42932,"Tonnen Stickstoff","bfs/agristat/awel"
2017,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",5731.013875,"Tonnen Stickstoff","bfs/agristat/awel"
2017,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8364.6759,"Tonnen Stickstoff","bfs/agristat/awel"
2017,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",920.78423,"Tonnen Stickstoff","bfs/agristat/awel"
2017,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",15016.474005,"Tonnen Stickstoff","bfs/agristat/awel"
2018,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",5400.295078,"Tonnen Stickstoff","bfs/agristat/awel"
2018,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8422.0195,"Tonnen Stickstoff","bfs/agristat/awel"
2018,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",595.42779,"Tonnen Stickstoff","bfs/agristat/awel"
2018,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",14417.742368,"Tonnen Stickstoff","bfs/agristat/awel"
2019,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",4650.35877,"Tonnen Stickstoff","bfs/agristat/awel"
2019,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8223.4932,"Tonnen Stickstoff","bfs/agristat/awel"
2019,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",589.57094,"Tonnen Stickstoff","bfs/agristat/awel"
2019,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",13463.42291,"Tonnen Stickstoff","bfs/agristat/awel"
2020,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",4776.32942,"Tonnen Stickstoff","bfs/agristat/awel"
2020,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8211.5943,"Tonnen Stickstoff","bfs/agristat/awel"
2020,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",588.56514,"Tonnen Stickstoff","bfs/agristat/awel"
2020,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",13576.48886,"Tonnen Stickstoff","bfs/agristat/awel"
2021,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Mineralischer Dünger",5360.371008,"Tonnen Stickstoff","bfs/agristat/awel"
2021,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Hofdünger",8141.3326,"Tonnen Stickstoff","bfs/agristat/awel"
2021,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Saldo Import/Export Hofdünger",374.13491,"Tonnen Stickstoff","bfs/agristat/awel"
2021,"Kanton Zürich","LF3","Eingesetzter Stickstoffdünger","Total",13875.838518,"Tonnen Stickstoff","bfs/agristat/awel"
